Variable_name,Variable_type,Variable_label,Variable,% missing
awb2_11_pst_yr_9_a4,haven_labelled,How often thought you were very special/have special powers past year,awb2_11_pst_yr_9_a4,97.61747187
awb7_1_wntr_mnths,haven_labelled,How often do you visit parks and green spaces? During the winter months,awb7_1_wntr_mnths,7.822634017
awb7_1_smmr_mnths,haven_labelled,How often do you visit parks and green spaces? During the spring/summer months,awb7_1_smmr_mnths,8.431502316
awb7_2_pollution,haven_labelled,What do you think about the air quality in Bradford?,awb7_2_pollution,8.232958306
awb7_3_clmte_chnge_feelng,haven_labelled,How pos/neg do you feel about the future of the environment?,awb7_3_clmte_chnge_feelng,10.11250827
awb7_1_like,haven_labelled,School: I enjoy school,awb7_1_like,8.352084712
awb7_1_trust,haven_labelled,School: There is an adult at school I can talk to if something is worrying me,awb7_1_trust,9.56982131
awb7_1_bullying_1_on,haven_labelled,Is bullying a problem at your school?,awb7_1_bullying_1_on,100
awb7_1_bullying_1_off,haven_labelled,Is bullying a problem at your school?,awb7_1_bullying_1_off,100
awb7_1_bullying_1,haven_labelled,Is bullying a problem at your school?,awb7_1_bullying_1,11.237591
awb7_1_safe_r8,haven_labelled,I feel safe when I am at school,awb7_1_safe_r8,9.609530113
awb7_1_safe1_r8,haven_labelled,I feel safe when I am at school,awb7_1_safe1_r8,100
awb7_2_grades_a5,haven_labelled,School pressure: Competition with other people for grades is intense,awb7_2_grades_a5,10.7081403
awb7_2_fam_diss_a5,haven_labelled,School pressure: If I dont do well in school my family will be disappointed,awb7_2_fam_diss_a5,9.993381866
awb7_2_prnt_preshr_a5,haven_labelled,School pressure: My teachers put too much pressure on me to do well in school,awb7_2_prnt_preshr_a5,10.23163468
awb7_2_progrssng_a5,haven_labelled,School pressure: Im worried about progressing in the future,awb7_2_progrssng_a5,10.28457975
awb7_2_dnt_do_well_a5,haven_labelled,"School pressure: If I dont do well in school, Ill be a failure",awb7_2_dnt_do_well_a5,10.44341496
awb7_2_acad_strss_r8,haven_labelled,School pressure: Often feel stressed because of pressure to do well in school,awb7_2_acad_strss_r8,10.93315685
awb7_2_test_wrries_a5,haven_labelled,"School pressure: I worry about doing well in tests, exams and assessments",awb7_2_test_wrries_a5,10.60225017
awb2_7_friends_physcl_a5,haven_labelled,How many in-person friends do you have?,awb2_7_friends_physcl_a5,100
awb2_7_friends_physcl_r10,haven_labelled,How many in-person friends do you have?,awb2_7_friends_physcl_r10,9.900727995
awb2_7_friends_onln_a5,haven_labelled,How many online friends do you have?,awb2_7_friends_onln_a5,100
awb2_7_friends_onln_r10,haven_labelled,How many online friends do you have?,awb2_7_friends_onln_r10,10.15221707
awb2_7_friends_clse_a5,haven_labelled,Do you have any close friends?,awb2_7_friends_clse_a5,10.23163468
awb2_7_friends_clse_1_a5,haven_labelled,How many of your close friends work hard at school?,awb2_7_friends_clse_1_a5,100
awb2_7_friends_clse_2_a5,haven_labelled,How many of your close friends get into a lot of trouble at school?,awb2_7_friends_clse_2_a5,100
awb8_1_morality_1,haven_labelled,Is it wrong for someone your age to start a fight?,awb8_1_morality_1,100
awb8_1_morality_1_r10,haven_labelled,Do people your age: Start a fight with someone?,awb8_1_morality_1_r10,11.67438782
awb8_1_morality_2,haven_labelled,Is it wrong for someone your age to spray paint on buildings?,awb8_1_morality_2,100
awb8_1_morality_2_r10,haven_labelled,"Do people your age: Write things/spray paint on a building, fence, train",awb8_1_morality_2_r10,12.52150893
awb8_1_morality_3,haven_labelled,Is it wrong for someone your age to steal something from a shop?,awb8_1_morality_3,100
awb8_1_morality_3_r10,haven_labelled,Do people your age: Take something from a shop without paying for it,awb8_1_morality_3_r10,12.69358041
awb8_1_morality_4,haven_labelled,Is it wrong for someone your age to download content without paying?,awb8_1_morality_4,100
awb8_1_morality_4_r10,haven_labelled,Do people your age: Copy/download music/games/films without paying,awb8_1_morality_4_r10,13.69953673
awb8_3_bully,haven_labelled,How often have you taken part in bullying somebody at school?,awb8_3_bully,13.97749835
awb8_2_bullied,haven_labelled,How often have you been bullied at school in the past couple of months?,awb8_2_bullied,14.13633355
awb8_2_bullied_onlne,haven_labelled,How often have you been bullied online?,awb8_2_bullied_onlne,14.70549305
awb8_2_bully_onlne,haven_labelled,"In the past couple of months, how often have you taken part in online bullying?",awb8_2_bully_onlne,14.4010589
awb8_2_club_1,haven_labelled,Have you ever been discouraged from joining a club/group?,awb8_2_club_1,13.68630046
awb8_2_club_rsn_1___1,haven_labelled,Were you discourage from joining a club/group because your ethnicity?,awb8_2_club_rsn_1___1,0
awb8_2_club_rsn_1___2,haven_labelled,Were you discourage from joining a club/group because your sex/gender?,awb8_2_club_rsn_1___2,0
awb8_2_club_rsn_1___3,haven_labelled,Were you discourage from joining a club/group because your disability?,awb8_2_club_rsn_1___3,0
awb8_2_club_rsn_1___4,haven_labelled,Were you discourage from joining a club/group because your religion?,awb8_2_club_rsn_1___4,0
awb8_2_club_rsn_1___5,haven_labelled,Were you discourage from joining a club/group because your class?,awb8_2_club_rsn_1___5,0
awb8_2_club_rsn_1___6,haven_labelled,Were you discourage from joining a club/group because your neurodiversity?,awb8_2_club_rsn_1___6,0
awb8_2_club_rsn_1___7,haven_labelled,Were you discourage from joining a club/group because your sexuality?,awb8_2_club_rsn_1___7,0
awb8_2_club_rsn_1___8,haven_labelled,Were you discourage from joining a club/group because of something else?,awb8_2_club_rsn_1___8,0
awb8_2_club_rsn_2,character,Were you discourage from joining a club/group because of something else?,awb8_2_club_rsn_2,0
awb8_2_excl_2,haven_labelled,Have others your age not included you in their activities?,awb8_2_excl_2,14.2819325
awb8_2_excl_rsn_1___1,haven_labelled,Were you excluded from activities because of your ethnicity?,awb8_2_excl_rsn_1___1,0
awb8_2_excl_rsn_1___2,haven_labelled,Were you excluded from activities because of your sex/gender?,awb8_2_excl_rsn_1___2,0
awb8_2_excl_rsn_1___3,haven_labelled,Were you excluded from activities because of your disability?,awb8_2_excl_rsn_1___3,0
awb8_2_excl_rsn_1___4,haven_labelled,Were you excluded from activities because of your religion?,awb8_2_excl_rsn_1___4,0
awb8_2_excl_rsn_1___5,haven_labelled,Were you excluded from activities because of your class?,awb8_2_excl_rsn_1___5,0
awb8_2_excl_rsn_1___6,haven_labelled,Were you excluded from activities because of your neurodiversity?,awb8_2_excl_rsn_1___6,0
awb8_2_excl_rsn_1___7,haven_labelled,Were you excluded from activities because of your sexuality?,awb8_2_excl_rsn_1___7,0
awb8_2_excl_rsn_1___8,haven_labelled,Were you excluded from activities because of something else?,awb8_2_excl_rsn_1___8,0
awb8_2_excl_rsn_2,character,Were you excluded from activities because of something else?,awb8_2_excl_rsn_2,0
awb8_2_age_3,haven_labelled,Have people expected less of you than others your age?,awb8_2_age_3,15.60555923
awb8_2_age_rsn_1___1,haven_labelled,Did people expect less of you because of your ethnicity?,awb8_2_age_rsn_1___1,0
awb8_2_age_rsn_1___2,haven_labelled,Did people expect less of you because of your sex/gender?,awb8_2_age_rsn_1___2,0
awb8_2_age_rsn_1___3,haven_labelled,Did people expect less of you because of your disability?,awb8_2_age_rsn_1___3,0
awb8_2_age_rsn_1___4,haven_labelled,Did people expect less of you because of your religion?,awb8_2_age_rsn_1___4,0
awb8_2_age_rsn_1___5,haven_labelled,Did people expect less of you because of your class?,awb8_2_age_rsn_1___5,0
awb8_2_age_rsn_1___6,haven_labelled,Did people expect less of you because of your neurodiversity?,awb8_2_age_rsn_1___6,0
awb8_2_age_rsn_1___7,haven_labelled,Did people expect less of you because of your sexuality?,awb8_2_age_rsn_1___7,0
awb8_2_age_rsn_1___8,haven_labelled,Did people expect less of you because of something else?,awb8_2_age_rsn_1___8,0
awb8_2_age_rsn_2,character,Did people expect less of you because of something else?,awb8_2_age_rsn_2,0
awb8_2_lang_4,haven_labelled,Have people assumed your English was poor?,awb8_2_lang_4,14.10986102
awb8_2_lang_rsn_1___1,haven_labelled,Did people assume your English was poor because of your ethnicity?,awb8_2_lang_rsn_1___1,0
awb8_2_lang_rsn_1___2,haven_labelled,Did people assume your English was poor because of your sex/gender?,awb8_2_lang_rsn_1___2,0
awb8_2_lang_rsn_1___3,haven_labelled,Did people assume your English was poor because of your disability?,awb8_2_lang_rsn_1___3,0
awb8_2_lang_rsn_1___4,haven_labelled,Did people assume your English was poor because of your religion?,awb8_2_lang_rsn_1___4,0
awb8_2_lang_rsn_1___5,haven_labelled,Did people assume your English was poor because of your class?,awb8_2_lang_rsn_1___5,0
awb8_2_lang_rsn_1___6,haven_labelled,Did people assume your English was poor because of your neurodiversity?,awb8_2_lang_rsn_1___6,0
awb8_2_lang_rsn_1___7,haven_labelled,Did people assume your English was poor because of your sexuality?,awb8_2_lang_rsn_1___7,0
awb8_2_lang_rsn_1___8,haven_labelled,Did people assume your English was poor because of something else?,awb8_2_lang_rsn_1___8,0
awb8_2_lang_rsn_2,character,Did people assume your English was poor because of something else?,awb8_2_lang_rsn_2,0
awb8_2_police_5,haven_labelled,Have you ever been hassled by police?,awb8_2_police_5,14.18927862
awb8_2_police_rsn_1___1,haven_labelled,Were you hassled by police because of your ethnicity?,awb8_2_police_rsn_1___1,0
awb8_2_police_rsn_1___2,haven_labelled,Were you hassled by police because of your sex/gender?,awb8_2_police_rsn_1___2,0
awb8_2_police_rsn_1___3,haven_labelled,Were you hassled by police because of your disability?,awb8_2_police_rsn_1___3,0
awb8_2_police_rsn_1___4,haven_labelled,Were you hassled by police because of your religion?,awb8_2_police_rsn_1___4,0
awb8_2_police_rsn_1___5,haven_labelled,Were you hassled by police because of your class?,awb8_2_police_rsn_1___5,0
awb8_2_police_rsn_1___6,haven_labelled,Were you hassled by police because of your neurodiversity?,awb8_2_police_rsn_1___6,0
awb8_2_police_rsn_1___7,haven_labelled,Were you hassled by police because of your sexuality?,awb8_2_police_rsn_1___7,0
awb8_2_police_rsn_1___8,haven_labelled,Were you hassled by police because of something else?,awb8_2_police_rsn_1___8,0
awb8_2_police_rsn_2,character,Were you hassled by police because of something else?,awb8_2_police_rsn_2,0
awb8_2_shop_6,haven_labelled,Have you ever been hassled by staff in a shop?,awb8_2_shop_6,14.26869623
awb8_2_shop_rsn_1___1,haven_labelled,Were you hassled by staff in a shop because of your ethnicity?,awb8_2_shop_rsn_1___1,0
awb8_2_shop_rsn_1___2,haven_labelled,Were you hassled by staff in a shop because of your sex/gender?,awb8_2_shop_rsn_1___2,0
awb8_2_shop_rsn_1___3,haven_labelled,Were you hassled by staff in a shop because of your disability?,awb8_2_shop_rsn_1___3,0
awb8_2_shop_rsn_1___4,haven_labelled,Were you hassled by staff in a shop because of your religion?,awb8_2_shop_rsn_1___4,0
awb8_2_shop_rsn_1___5,haven_labelled,Were you hassled by staff in a shop because of your class?,awb8_2_shop_rsn_1___5,0
awb8_2_shop_rsn_1___6,haven_labelled,Were you hassled by staff in a shop because of your neurodiversity?,awb8_2_shop_rsn_1___6,0
awb8_2_shop_rsn_1___7,haven_labelled,Were you hassled by staff in a shop because of your sexuality?,awb8_2_shop_rsn_1___7,0
awb8_2_shop_rsn_1___8,haven_labelled,Were you hassled by staff in a shop because of something else?,awb8_2_shop_rsn_1___8,0
awb8_2_shop_rsn_2,character,Were you hassled by staff in a shop because of something else?,awb8_2_shop_rsn_2,0
awb8_2_names_7,haven_labelled,Have you ever been called insulting names?,awb8_2_names_7,14.25545996
awb8_2_names_rsn_1___1,haven_labelled,Were you called insulting names because of your ethnicity?,awb8_2_names_rsn_1___1,0
awb8_2_names_rsn_1___2,haven_labelled,Were you called insulting names because of your sex/gender?,awb8_2_names_rsn_1___2,0
awb8_2_names_rsn_1___3,haven_labelled,Were you called insulting names because of your disability?,awb8_2_names_rsn_1___3,0
awb8_2_names_rsn_1___4,haven_labelled,Were you called insulting names because of your religion?,awb8_2_names_rsn_1___4,0
awb8_2_names_rsn_1___5,haven_labelled,Were you called insulting names because of your class?,awb8_2_names_rsn_1___5,0
awb8_2_names_rsn_1___6,haven_labelled,Were you called insulting names because of your neurodiversity?,awb8_2_names_rsn_1___6,0
awb8_2_names_rsn_1___7,haven_labelled,Were you called insulting names because of your sexuality?,awb8_2_names_rsn_1___7,0
awb8_2_names_rsn_1___8,haven_labelled,Were you called insulting names because of something else?,awb8_2_names_rsn_1___8,0
awb8_2_names_rsn_2,character,Were you called insulting names because of something else?,awb8_2_names_rsn_2,0
awb8_2_service_8,haven_labelled,Have you ever received poor service in a shop/restaurant?,awb8_2_service_8,14.73196559
awb8_2_service_rsn_1___1,haven_labelled,Did you receive poor service because of your ethnicity?,awb8_2_service_rsn_1___1,0
awb8_2_service_rsn_1___2,haven_labelled,Did you receive poor service because of your sex/gender?,awb8_2_service_rsn_1___2,0
awb8_2_service_rsn_1___3,haven_labelled,Did you receive poor service because of your disability?,awb8_2_service_rsn_1___3,0
awb8_2_service_rsn_1___4,haven_labelled,Did you receive poor service because of your religion?,awb8_2_service_rsn_1___4,0
awb8_2_service_rsn_1___5,haven_labelled,Did you receive poor service because of your class?,awb8_2_service_rsn_1___5,0
awb8_2_service_rsn_1___6,haven_labelled,Did you receive poor service because of your neurodiversity?,awb8_2_service_rsn_1___6,0
awb8_2_service_rsn_1___7,haven_labelled,Did you receive poor service because of your sexuality?,awb8_2_service_rsn_1___7,0
awb8_2_service_rsn_1___8,haven_labelled,Did you receive poor service because of something else?,awb8_2_service_rsn_1___8,0
awb8_2_service_rsn_2,character,Did you receive poor service because of something else?,awb8_2_service_rsn_2,0
awb8_2_int_9,haven_labelled,Have people ever acted as though you were not intelligent?,awb8_2_int_9,14.82461946
awb8_2_int_rsn_1___1,haven_labelled,Did people act as though you weren't intelligent because of your ethnicity?,awb8_2_int_rsn_1___1,0
awb8_2_int_rsn_1___2,haven_labelled,Did people act as though you weren't intelligent because of your sex/gender?,awb8_2_int_rsn_1___2,0
awb8_2_int_rsn_1___3,haven_labelled,Did people act as though you weren't intelligent because of your disability?,awb8_2_int_rsn_1___3,0
awb8_2_int_rsn_1___4,haven_labelled,Did people act as though you weren't intelligent because of your religion?,awb8_2_int_rsn_1___4,0
awb8_2_int_rsn_1___5,haven_labelled,Did people act as though you weren't intelligent because of your class?,awb8_2_int_rsn_1___5,0
awb8_2_int_rsn_1___6,haven_labelled,Did people act as though you weren't intelligent because of your neurodiversity?,awb8_2_int_rsn_1___6,0
awb8_2_int_rsn_1___7,haven_labelled,Did people act as though you werent intelligent because of your sexuality?,awb8_2_int_rsn_1___7,0
awb8_2_int_rsn_1___8,haven_labelled,Did people act as though you weren't intelligent because of something else?,awb8_2_int_rsn_1___8,0
awb8_2_int_rsn_2,character,Did people act as though you weren't intelligent because of something else?,awb8_2_int_rsn_2,0
awb8_2_afraid_10,haven_labelled,Have people ever acted like they're afraid of you?,awb8_2_afraid_10,14.63931171
awb8_2_afraid_rsn_1___1,haven_labelled,Did people act afraid of you because of your ethnicity?,awb8_2_afraid_rsn_1___1,0
awb8_2_afraid_rsn_1___2,haven_labelled,Did people act afraid of you because of your sex/gender?,awb8_2_afraid_rsn_1___2,0
awb8_2_afraid_rsn_1___3,haven_labelled,Did people act afraid of you because of your disability?,awb8_2_afraid_rsn_1___3,0
awb8_2_afraid_rsn_1___4,haven_labelled,Did people act afraid of you because of your religion?,awb8_2_afraid_rsn_1___4,0
awb8_2_afraid_rsn_1___5,haven_labelled,Did people act afraid of you because of your class?,awb8_2_afraid_rsn_1___5,0
awb8_2_afraid_rsn_1___6,haven_labelled,Did people act afraid of you because of your neurodiversity?,awb8_2_afraid_rsn_1___6,0
awb8_2_afraid_rsn_1___7,haven_labelled,Did people act afraid of you because of your sexuality?,awb8_2_afraid_rsn_1___7,0
awb8_2_afraid_rsn_1___8,haven_labelled,Did people act afraid of you because of something else?,awb8_2_afraid_rsn_1___8,0
awb8_2_afraid_rsn_2,character,Did people act afraid of you because of something else?,awb8_2_afraid_rsn_2,0
awb8_2_threat_11,haven_labelled,Have you ever been threatened?,awb8_2_threat_11,15.02316347
awb8_2_threat_rsn_1___1,haven_labelled,Were you threatened because of your ethnicity?,awb8_2_threat_rsn_1___1,0
awb8_2_threat_rsn_1___2,haven_labelled,Were you threatened because of your sex/gender?,awb8_2_threat_rsn_1___2,0
awb8_2_threat_rsn_1___3,haven_labelled,Were you threatened because of your disability?,awb8_2_threat_rsn_1___3,0
awb8_2_threat_rsn_1___4,haven_labelled,Were you threatened because of your religion?,awb8_2_threat_rsn_1___4,0
awb8_2_threat_rsn_1___5,haven_labelled,Were you threatened because of your class?,awb8_2_threat_rsn_1___5,0
awb8_2_threat_rsn_1___6,haven_labelled,Were you threatened because of your neurodiversity?,awb8_2_threat_rsn_1___6,0
awb8_2_threat_rsn_1___7,haven_labelled,Were you threatened because of your sexuality?,awb8_2_threat_rsn_1___7,0
awb8_2_threat_rsn_1___8,haven_labelled,Were you threatened because of something else?,awb8_2_threat_rsn_1___8,0
awb8_2_threat_rsn_2,character,Were you threatened because of something else?,awb8_2_threat_rsn_2,0
awb6_1_social_media___1,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Facebook),awb6_1_social_media___1,100
awb6_1_social_media___2,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Instagram),awb6_1_social_media___2,100
awb6_1_social_media___3,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Twitter),awb6_1_social_media___3,100
awb6_1_social_media___4,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=TikTok),awb6_1_social_media___4,100
awb6_1_social_media___5,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Snapchat),awb6_1_social_media___5,100
awb6_1_social_media___6,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Twitch),awb6_1_social_media___6,100
awb6_1_social_media___7,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Omegle),awb6_1_social_media___7,100
awb6_1_social_media___8,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Yubo),awb6_1_social_media___8,100
awb6_1_social_media___9,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Kik),awb6_1_social_media___9,100
awb6_1_social_media___10,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Discord),awb6_1_social_media___10,100
awb6_1_social_media___11,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Other),awb6_1_social_media___11,100
awb6_1_social_media_othr,character,Which social media platforms do you use? Tick all that apply (choice=Other),awb6_1_social_media_othr,0
awb6_1_social_media_r10___1,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Facebook),awb6_1_social_media_r10___1,0
awb6_1_social_media_r10___2,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Instagram),awb6_1_social_media_r10___2,0
awb6_1_social_media_r10___3,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=X (formerly,awb6_1_social_media_r10___3,0
awb6_1_social_media_r10___4,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=TikTok),awb6_1_social_media_r10___4,0
awb6_1_social_media_r10___5,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Snapchat),awb6_1_social_media_r10___5,0
awb6_1_social_media_r10___11,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Other),awb6_1_social_media_r10___11,0
awb6_1_time_weekday,haven_labelled,How many hours spent using social media during term time?,awb6_1_time_weekday,18.00132363
awb6_1_time_weekend,haven_labelled,How many hrs do you spend using social media at weekend in term time?,awb6_1_time_weekend,19.80145599
awb6_1_positive_exp___1,haven_labelled,Has connecting with friends been a positive experience of social media?,awb6_1_positive_exp___1,0
awb6_1_positive_exp___2,haven_labelled,Has viewing enjoyable content been a positive experience of social media?,awb6_1_positive_exp___2,0
awb6_1_positive_exp___3,haven_labelled,Has learning new things  been a positive experience of social media?,awb6_1_positive_exp___3,0
awb6_1_positive_exp___4,haven_labelled,Has accessing support been a positive experience of social media?,awb6_1_positive_exp___4,0
awb6_1_positive_exp___5,haven_labelled,Has engaging positively with issues been a positive experience of social media?,awb6_1_positive_exp___5,0
awb6_1_positive_exp___6,haven_labelled,Has there been any other positive experience of social media?,awb6_1_positive_exp___6,0
awb6_1_positive_exp_othr,character,Has there been any other positive experience of social media?,awb6_1_positive_exp_othr,0
awb6_1_negative_exp_r5___1,haven_labelled,Has people being unpleasant about you been negative experience of social media?,awb6_1_negative_exp_r5___1,0
awb6_1_negative_exp_r5___2,haven_labelled,Has people bullying you been a negative experience of social media?,awb6_1_negative_exp_r5___2,0
awb6_1_negative_exp_r5___3,haven_labelled,Has upsetting content been a negative experience of social media?,awb6_1_negative_exp_r5___3,0
awb6_1_negative_exp_r5___4,haven_labelled,Has sexually explicit images been a negative experience of social media?,awb6_1_negative_exp_r5___4,0
awb6_1_negative_exp_r5___5,haven_labelled,Has regrettably posting something online been a negative experience of social media?,awb6_1_negative_exp_r5___5,0
awb6_1_negative_exp_r5___6,haven_labelled,You havent experience any negative experience of social media,awb6_1_negative_exp_r5___6,0
awb6_1_negative_exp_r5___7,haven_labelled,You've had a negative experience of social media for another reason,awb6_1_negative_exp_r5___7,0
awb6_1_neg_exp_othr_r5,character,You've had a negative experience of social media for another reason,awb6_1_neg_exp_othr_r5,0
awb6_1_pos_neg,haven_labelled,Has your experience of using social media been mostly positive or negative?,awb6_1_pos_neg,17.60423561
awb6_6_int_hme,haven_labelled,Do you have access to the internet at home?,awb6_6_int_hme,14.05691595
awb6_6_int_hme_gd,haven_labelled,How good is your internet at home?,awb6_6_int_hme_gd,17.06154864
awb6_6_int_hme_hrs,haven_labelled,How much time do you spend on the internet at home on a school day?,awb6_6_int_hme_hrs,100
awb6_6_int_hme_hrs_wknd,haven_labelled,How much time do you spend on the internet at home on a weekend day?,awb6_6_int_hme_hrs_wknd,100
survey_age_diff,numeric,Age (months) at survey date,survey_age_diff,0
age_m_heightweight,numeric,Age in months at measurement,age_m_heightweight,71.75380543
age_y,numeric,Age in years at measurement,age_y,71.75380543
height,numeric,Height (cm),height,71.76704169
weight,numeric,Weight (kg),weight,72.36267373
bmi,numeric,BMI (kg/m2),bmi,72.37590999
age_m_skinfold,numeric,Age in months at measurement,age_m_skinfold,74.67902052
sk_tricep,numeric,Triceps skinfold (mm),sk_tricep,74.89080079
sk_subscap,numeric,Subscapular skinfold (mm),sk_subscap,81.83984116
age_m_bloodpressure,numeric,Age in months at measurement,age_m_bloodpressure,72.48180013
bp_sys_1,numeric,Systolic reading 1 (mm Hg),bp_sys_1,72.56121774
bp_dia_1,numeric,Diastolic reading 1 (mm Hg),bp_dia_1,72.58769027
bp_sys_2,numeric,Systolic reading 2 (mm Hg),bp_sys_2,72.97154203
bp_dia_2,numeric,Diastolic reading 2 (mm Hg),bp_dia_2,72.99801456
age_m_bioimpedance,numeric,Age (months) at measurement,age_m_bioimpedance,80.42356056
model,character,Bioimpedance scale model,model,80.42356056
clothes,numeric,Estimated weight of clothes (kg),clothes,80.42356056
fatp,numeric,Total fat %,fatp,80.42356056
fatm,numeric,Fat mass (kg),fatm,80.42356056
pmm,numeric,Predicted muscle mass (kg),pmm,80.42356056
ffm,numeric,Fat free mass (kg),ffm,80.42356056
tbw,numeric,Total body water (%),tbw,80.42356056
imp,numeric,Impedance (ohms),imp,80.42356056
